symbol,timeframe,direction,mode,entry_ts,exit_ts,entry,sl,tp,exit_price,exit_reason,score,cnt,src,risk,r,pnl_pct,bars_held
BTC/USDT,15m,short,reversion,2025-10-30 07:15:00+00:00,2025-10-30 07:15:00+00:00,111279.63453781513,111560.46975565799,110860.15580000001,111560.46975565799,sl,5.95,5,피보 가격대 돌파선,280.8352178428613,-1.3967452978389647,-0.35249510983638377,0
BTC/USDT,15m,short,reversion,2025-10-30 17:45:00+00:00,2025-10-31 00:00:00+00:00,107426.90477567568,108588.25247525964,105104.20937650776,108588.25247525964,sl,3.7,3,피보 가격대 FVG,1161.3476995839592,-1.0930019310015082,-1.181599042493164,25
BTC/USDT,15m,short,reversion,2025-10-31 00:45:00+00:00,2025-10-31 00:45:00+00:00,109192.04697247705,109560.20159635319,108393.58924243902,109560.20159635319,sl,5.45,5,피보 가격대 넥라인,368.1546238761366,-1.2970928984480556,-0.4373310707151759,0
BTC/USDT,15m,short,reversion,2025-10-31 08:00:00+00:00,2025-10-31 09:00:00+00:00,109623.11697837837,110205.12240669844,108640.30843015385,110205.12240669844,sl,3.7,3,피보 가격대 FVG,582.0054283200734,-1.1888541143160802,-0.6311803268183692,4
BTC/USDT,15m,short,reversion,2025-10-31 15:00:00+00:00,2025-10-31 16:45:00+00:00,111187.18590909088,111462.07423417913,108770.01767733332,108770.01767733332,tp,4.4,4,가격대 돌파선 FVG,274.88832508825,8.3931888676016,2.075049935925853,7
BTC/USDT,15m,short,reversion,2025-10-31 18:30:00+00:00,2025-11-01 03:30:00+00:00,109628.37820463158,110265.9180596412,108376.95005070422,110265.9180596412,sl,4.75,4,피보 가격대 FVG,637.5398550096288,-1.1724553332128167,-0.6818371441621722,36
BTC/USDT,15m,long,reversion,2025-11-02 09:45:00+00:00,2025-11-02 16:00:00+00:00,110550.59621,109839.86106941504,111557.15000000002,109839.86106941504,sl,7.5,7,피보 가격대 넥라인 FVG,710.7351405849622,-1.1550440133704556,-0.7425833938201876,25
BTC/USDT,15m,short,reversion,2025-11-02 23:00:00+00:00,2025-11-02 23:00:00+00:00,110243.41514084509,110361.87880777006,109923.73896000002,110361.87880777006,sl,3.55,3,피보 FVG,118.46366692497395,-1.9311095109369276,-0.2075101842654399,0
BTC/USDT,15m,short,reversion,2025-11-02 23:45:00+00:00,2025-11-02 23:45:00+00:00,110544.3505730337,110680.9325421541,109936.62015492958,110680.9325421541,sl,4.45,4,피보 가격대 돌파선,136.5819691203942,-1.8098626946876943,-0.22361577900326368,0
BTC/USDT,15m,short,reversion,2025-11-03 00:00:00+00:00,2025-11-03 00:00:00+00:00,110546.51595652173,110686.38736057167,109936.62015492958,110686.38736057167,sl,3.45,3,피보 가격대,139.8714040499326,-1.7908439356128705,-0.22659045700453997,0
BTC/USDT,15m,short,reversion,2025-11-04 01:15:00+00:00,2025-11-04 05:30:00+00:00,106818.13211267604,108017.43746018069,105306.56,105306.56,tp,3.55,3,피보 FVG,1199.3053475046472,1.171936546054851,1.315796989538369,17
BTC/USDT,15m,short,reversion,2025-11-07 00:30:00+00:00,2025-11-07 03:00:00+00:00,101121.47262282352,102105.22108930351,99824.77475882354,102105.22108930351,sl,4.25,4,피보 가격대 넥라인,983.7484664799849,-1.103292000260649,-1.0733247698877735,10
BTC/USDT,15m,short,reversion,2025-11-07 05:00:00+00:00,2025-11-07 06:45:00+00:00,102318.3022504,102540.38500764174,101861.75329411763,101861.75329411763,tp,3.75,3,피보 가격대,222.08275724174746,1.5960668577446566,0.34642768763173015,7
BTC/USDT,15m,short,reversion,2025-11-07 11:45:00+00:00,2025-11-07 12:45:00+00:00,100300.95,101010.2351405184,99516.40578780488,99516.40578780488,tp,4.25,4,피보 가격대 넥라인,709.2851405184047,0.9652472541590663,0.6825813058612282,4
BTC/USDT,15m,short,reversion,2025-11-07 13:00:00+00:00,2025-11-07 15:00:00+00:00,100298.48333333332,101056.1043582755,99248.58903999999,101056.1043582755,sl,5.25,5,피보 가격대 넥라인 FVG,757.6210249421711,-1.1328860875442166,-0.8557440653768367,8
BTC/USDT,15m,short,reversion,2025-11-07 15:15:00+00:00,2025-11-07 17:15:00+00:00,101176.64328534482,102150.08287836517,99774.63775294117,102150.08287836517,sl,5.8,5,피보 가격대 돌파선,973.4395930203464,-1.104437259189775,-1.0625999451969637,8
BTC/USDT,15m,short,reversion,2025-11-07 17:30:00+00:00,2025-11-07 17:30:00+00:00,102349.48716216217,102665.50235968771,101173.602303125,102665.50235968771,sl,3.7,3,피보 가격대 돌파선,316.01519752554304,-1.3243752058874936,-0.40891528027234963,0
BTC/USDT,15m,short,reversion,2025-11-08 21:45:00+00:00,2025-11-08 23:30:00+00:00,102351.54754092309,102469.40069848238,102028.77296470587,102469.40069848238,sl,3.25,3,피보 가격대 돌파선,117.85315755929332,-1.8689667399719758,-0.21520303011630415,7
BTC/USDT,15m,short,reversion,2025-11-09 12:15:00+00:00,2025-11-09 13:15:00+00:00,102351.89062499999,102464.07371214691,101474.90909090907,102464.07371214691,sl,3.2,3,가격대 돌파선 FVG,112.1830871469283,-1.9128647176062092,-0.2096600932382648,4
BTC/USDT,15m,short,reversion,2025-11-12 06:00:00+00:00,2025-11-12 08:15:00+00:00,103524.81647129776,103737.63591349132,102450.59957983193,103737.63591349132,sl,4.55,4,피보 포크 돌파선,212.81944219356228,-1.4869443558551407,-0.3056761452686977,9
BTC/USDT,15m,short,reversion,2025-11-13 01:00:00+00:00,2025-11-13 01:00:00+00:00,102458.04849624059,102644.39663937905,102063.36623658537,101854.58,tp,6.65,6,피보 가격대 넥라인,186.3481431384571,2.690191453209125,0.4892853117447987,0
BTC/USDT,15m,short,reversion,2025-11-13 01:15:00+00:00,2025-11-13 03:00:00+00:00,102458.04849624059,102660.16830799483,101753.23072705882,101753.23072705882,tp,6.65,6,피보 가격대 넥라인,202.11981175423716,2.9819547343680144,0.5882525954925192,7
BTC/USDT,15m,short,reversion,2025-11-13 03:30:00+00:00,2025-11-13 04:00:00+00:00,102458.04849624059,102706.40366937491,101771.89776705882,101771.89776705882,tp,6.65,6,피보 가격대 넥라인,248.35517313431774,2.351615022467261,0.5700242827400219,2
BTC/USDT,15m,short,reversion,2025-11-15 21:00:00+00:00,2025-11-16 09:45:00+00:00,95580.68047619048,96594.67091898402,93977.84823466666,96594.67091898402,sl,5.25,5,피보 가격대 넥라인 FVG,1013.9904427935398,-1.0947619145530267,-1.1614042847996378,51
BTC/USDT,15m,short,reversion,2025-11-16 12:15:00+00:00,2025-11-16 13:45:00+00:00,95869.37206647887,96313.68540927836,95162.04740686988,95162.04740686988,tp,3.55,3,피보 FVG,444.3133427994908,1.3769763158978787,0.6381693513628798,6
BTC/USDT,15m,short,reversion,2025-11-16 14:30:00+00:00,2025-11-16 15:45:00+00:00,95568.18091294117,95838.65896216183,95124.03046645314,95124.03046645314,tp,4.25,4,피보 가격대 넥라인,270.4780492206628,1.2895846513362226,0.36497957527943015,5
BTC/USDT,15m,short,reversion,2025-11-16 16:00:00+00:00,2025-11-16 17:30:00+00:00,94841.62,95634.42957994071,94010.57790879998,94010.57790879998,tp,4.25,4,피보 가격대 넥라인,792.8095799407165,0.9291209527270008,0.7766801033613848,6
BTC/USDT,15m,short,reversion,2025-11-16 19:00:00+00:00,2025-11-17 07:30:00+00:00,94344.191335,95721.39408392375,91589.78583715249,95721.39408392375,sl,3.5999999999999996,3,피보,1377.2027489237516,-1.0690042136379174,-1.560494102287186,50
BTC/USDT,15m,short,reversion,2025-11-17 07:45:00+00:00,2025-11-17 13:00:00+00:00,95822.50878857143,96364.88420176915,95180.638848,95180.638848,tp,3.5,3,피보 돌파선 FVG,542.3754131977184,1.0073619737515074,0.570187916868972,21
BTC/USDT,15m,short,reversion,2025-11-17 14:30:00+00:00,2025-11-17 14:30:00+00:00,95620.923125,95889.30166687616,94832.69777777776,95889.30166687616,sl,3.2,3,가격대 FVG,268.3785418761545,-1.3567912386979326,-0.3808095993761539,0
BTC/USDT,15m,short,reversion,2025-11-18 15:15:00+00:00,2025-11-18 16:15:00+00:00,92572.22516483515,93595.3391353323,90663.60178985915,93595.3391353323,sl,4.55,4,피보 돌파선 FVG,1023.1139704971429,-1.0909808533890444,-1.2057588014760499,4
BTC/USDT,15m,short,reversion,2025-11-21 02:45:00+00:00,2025-11-21 07:30:00+00:00,86055.95428571428,88252.45493953563,83282.52446117646,83282.52446117646,tp,5.25,5,피보 가격대 넥라인 돌파선,2196.5006538213493,1.224110987850887,3.124432943056351,19
BTC/USDT,15m,short,reversion,2025-11-21 14:30:00+00:00,2025-11-21 15:30:00+00:00,85263.40760869565,86818.92242394772,83124.09599999999,83124.09599999999,tp,4.6,4,피보 FVG,1555.5148152520705,1.3211817957248315,2.410316353203924,4
BTC/USDT,15m,short,reversion,2025-11-21 16:45:00+00:00,2025-11-22 22:45:00+00:00,84149.33943661972,86872.34294994135,78703.33240997646,85072.88,flip,3.55,3,피보 FVG,2723.0035133216297,-0.37023517162811637,-1.1980506084161542,120
BTC/USDT,15m,long,reversion,2025-11-27 13:00:00+00:00,2025-11-28 11:00:00+00:00,90757.90162507042,89982.58233491702,91924.49995479314,91924.49995479314,tp,3.55,3,피보 FVG,775.3192901533912,1.3868571859215033,1.184753183667445,88
BTC/USDT,15m,long,reversion,2025-11-28 14:45:00+00:00,2025-11-28 16:15:00+00:00,91940.86075124533,91746.3607398355,93129.0909090909,91746.3607398355,sl,4.2,4,빗각 가격대 넥라인 FVG,194.5000114098366,-1.4722036265181195,-0.3114432688748768,6
